"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"152","PWY-6952",0.289676425269646,0.377923425122595,0.0949751525905595,0.496153852766064,1.15083769212495,6,"ECB_RS11420,ECB_RS11430,ECB_RS17330,ECB_RS11425,ECB_RS11410"
"153","PWY-6961",6.88576161836711e-05,0.000985524631628792,0.538434096309916,0.785026149187999,2.11098324591628,9,"ECB_RS00325,ECB_RS18185,ECB_RS18175,ECB_RS21625,ECB_RS18180,ECB_RS18150,ECB_RS21635,ECB_RS18190,ECB_RS21630"
"154","PWY-7176",0.115,0.181620689655172,0.208955027549354,-0.679717496773464,-1.35784275726293,3,"ECB_RS12700"
"155","PWY-7184",0.0431034482758621,0.094824016563147,0.376039306993639,-0.681115457794619,-1.64285585037316,5,"ECB_RS12700,ECB_RS11385,ECB_RS14140,ECB_RS11390"
"156","PWY-7187",0.445402298850575,0.545439178806319,0.106729884364606,-0.415965408322275,-1.00331184205949,5,"ECB_RS12700,ECB_RS14140,ECB_RS10440"
"157","PWY-7219",0.00530686785736352,0.0202545456556041,0.407017918923954,-0.885133278373179,-1.76819313458394,3,"ECB_RS05985,ECB_RS02225,ECB_RS21530"
"158","PWY-7220",0.00792119680666238,0.0287929217258045,0.380730400722792,-0.734219497231193,-1.92800866810809,6,"ECB_RS13360,ECB_RS13355,ECB_RS12700,ECB_RS11385"
"159","PWY-7221",0.000672060788345157,0.00496457808164648,0.477270815362862,-0.881527443954121,-1.97586286762016,4,"ECB_RS12700,ECB_RS12645,ECB_RS12650"
"160","PWY-7222",0.00792119680666238,0.0287929217258045,0.380730400722792,-0.734219497231193,-1.92800866810809,6,"ECB_RS13360,ECB_RS13355,ECB_RS12700,ECB_RS11385"
"161","PWY-7315",0.0488505747126437,0.100781816299058,0.352171384439073,-0.662084135276326,-1.59695215052064,5,"ECB_RS19395,ECB_RS19410,ECB_RS19400,ECB_RS10320,ECB_RS19405"
"162","PWY-7446",0.166939443535188,0.235982299812087,0.135740943810425,0.619296316657504,1.25262220789679,4,"ECB_RS19970,ECB_RS19955,ECB_RS19965,ECB_RS19960"
"163","PWY0-1061",0.0103744477708805,0.0319751574759033,0.380730400722792,-0.671018654308922,-1.86913851875708,7,"ECB_RS08705,ECB_RS12760,ECB_RS19305,ECB_RS18130,ECB_RS11660,ECB_RS20880"
"164","PWY0-1221",0.0161788228053383,0.0446379568966562,0.352487857583619,-0.762231995601979,-1.70847306791318,4,"ECB_RS06780,ECB_RS06800,ECB_RS06795,ECB_RS06785"
"165","PWY0-1261",0.0689655172413793,0.128399215026633,0.294066672318865,-0.630739620566401,-1.52134893409234,5,"ECB_RS11095,ECB_RS19105,ECB_RS21820,ECB_RS03335,ECB_RS06200"
"166","PWY0-1264",0.0434782608695652,0.094824016563147,0.352171384439073,-0.690899263866715,-1.54858729595195,4,"ECB_RS16460,ECB_RS00950,ECB_RS11795"
"167","PWY0-1277",0.00126221040323798,0.00760647848267096,0.45505986738723,0.677304773979342,1.92679151383884,11,"ECB_RS01590,ECB_RS01605,ECB_RS01595,ECB_RS01615,ECB_RS01600,ECB_RS12810,ECB_RS12800"
"168","PWY0-1297",0.935215946843854,0.947630317819657,0.0402477565068868,0.342401758724924,0.627572273168458,3,"ECB_RS01610,ECB_RS08405,ECB_RS22710"
"169","PWY0-1303",0.86,0.895055696697284,0.0630790410571939,-0.350090494555662,-0.699360903133313,3,"ECB_RS00630"
"170","PWY0-1312",0.782392026578073,0.837232589188686,0.0484087618816951,0.430716359064289,0.789440000411835,3,"ECB_RS12380"
"171","PWY0-1319",0.0502020981699469,0.101736995406353,0.321775918075361,-0.78168461948529,-1.56153814499449,3,"ECB_RS20820,ECB_RS18355"
"172","PWY0-1321",0.00164827175775256,0.00886725274317103,0.45505986738723,0.669211921180214,1.90376902721957,11,"ECB_RS06400,ECB_RS06385,ECB_RS07595,ECB_RS07550,ECB_RS07560,ECB_RS07600,ECB_RS07565,ECB_RS06390"
"173","PWY0-1324",0.302325581395349,0.391144396268559,0.096887770327544,0.622148942017038,1.14030788639919,3,"ECB_RS16285,ECB_RS16280,ECB_RS16295"
