"","pre_lac25_01","pre_lac01_02","pre_lac25_03","pre_lac01_04","pre_lac01_05","pre_lac25_06","pre_lac25_07","pre_lac25_08","pre_lac50_09","pre_lac50_10","pre_lac50_11","pre_lac50_12","pre_lac50_13","pre_lac50_14","pre_lac50_15","pre_lac50_16","pre_lac01_17","pre_lac25_18","pre_lac25_19","pre_lac01_20","pre_lac01_21","pre_lac01_22","pre_lac25_23"
"ECB_RS08805",0.996817161303308,4.65873704149566,3.17626158499996,4.66547360161369,0,4.86035588410902,1.52298486613833,2.55586868761224,52.0243209658625,20.9694611721675,44.9113611059508,20.3096504483483,3.24530682209343,47.7836220833986,22.8586640921673,29.1136958765979,26.0658898731043,13.3949348657143,4.97727697744436,46.9434538580881,10.6671465111794,30.4766512488169,5.75996596243258
"ECB_RS08810",0,3.10582469433044,0,0,0,0,0.761492433069165,0,6.42275567479783,2.16925460401733,3.87166906085783,2.38937064098215,0,6.06776153439982,1.6327617208691,3.14742658125382,0,0,0,7.22206982432125,2.66678662779484,3.38629458320188,0
"ECB_RS08815",10.4665801936847,17.0820358188174,8.8935324379999,23.3273680080685,21.2241602805322,9.72071176821804,6.85343189762249,7.02863889093367,53.308872100822,34.7080736642773,23.2300143651469,19.1149651278572,11.8994583476759,53.0929134259984,35.1043769986856,33.0479791031651,31.2790678477251,18.4977671955102,9.95455395488871,47.8462125861283,26.6678662779484,47.4081241648263,7.4056705231276
"ECB_RS08820",429.129787941074,1108.77941587597,411.008249098995,525.643359115143,789.5387624358,380.496432070249,249.769518046686,205.747429352786,104.690917499205,80.2624203486412,97.5660603336172,71.6811192294645,70.3149811453577,103.910416276597,81.6380860434548,53.506251881315,542.170509360569,186.253380037551,204.897902238126,288.88279297285,514.689819164404,279.933685544689,251.792797786339
"ECB_RS08830",60.3074382588501,79.1985297054262,62.2547270659993,43.5444202817278,89.1414731782354,33.3281546338904,30.4596973227666,25.5586868761225,40.4633607512264,23.8618006441906,36.3936891720636,27.4777623712947,16.2265341104672,46.2666816997986,19.5931406504291,25.1794126500306,78.1976696193128,23.6005995253061,21.5682002355922,61.3875935067306,48.0021593003071,58.6957727754992,17.2798978872977
"ECB_RS08835",232.756807164322,35.7169839848,132.767734252998,23.3273680080685,29.7138243927451,179.138831157161,278.706230503314,214.054002587526,66.7966590178975,83.1547598206643,55.7520344763527,65.7076926270091,96.2774357221052,66.745376878398,74.2906582995438,74.7513813047783,15.6395339238626,82.2831713179591,87.9318932681836,51.4572474982889,24.0010796501536,27.090356665615,97.9194213613539
"ECB_RS08840",90.710361678601,15.5291234716522,57.1727085299993,18.6618944064548,16.9793282244258,93.0410983529441,26.6522351574208,19.1690151570918,7.7073068097574,7.95393354806355,7.74333812171565,14.3362238458929,4.32707576279125,10.6185826851997,4.08190430217274,2.36056993594037,15.6395339238626,26.1520156902041,24.8863848872218,9.93034600844172,16.000719766769,14.6739431938748,32.091238933553
"ECB_RS08845",251.197924648434,66.7752309281044,256.641936067997,63.7614725553871,67.9173128977032,218.716014784906,132.499683354035,156.54695711625,46.8861164260242,41.9389223443351,54.2033668520096,31.0618183327679,24.8806856360497,46.2666816997986,44.9009473239001,40.1296889109862,46.9186017715877,75.9046309057142,70.5114238471284,54.1655236824094,69.3364523226659,50.7944187480282,74.0567052312761
"ECB_RS08850",32.8949663230092,35.7169839848,33.6683728009996,79.3130512274328,25.4689923366387,24.9961159754178,25.8907427243516,31.30939142325,70.0080368552964,50.6159407604044,51.8803654154949,76.4598605114288,94.1138978407096,52.3344432341984,54.6975176491147,90.4885142110474,52.1317797462086,39.5469505559183,39.8182158195549,46.9434538580881,56.0025191836917,51.9231836090955,55.9539550636308
"ECB_RS08855",121.611693679004,186.349481659826,121.333192546999,237.939153682298,140.079457851513,116.648541218617,61.6808870786024,62.6187828465,106.617744201644,133.047615713063,92.1457236484162,169.645315509733,227.17147754654,84.1901912897975,131.437318529962,158.158185708005,208.527118984834,113.538019337959,108.670547340868,110.136564820899,218.676503479177,134.323018467008,127.542103453864
"ECB_RS08860",69.2787927105799,12.4232987773218,55.9022038959994,10.8861050704319,12.7344961683193,49.9922319508356,32.7441746219741,31.9483585951531,32.756053941469,26.7541401162137,38.7166906085783,28.6724476917858,31.3712992802365,39.4404499735988,34.287996138251,30.6874091672248,20.8527118984834,20.4113293191837,24.8863848872218,29.7910380253252,8.00035988338452,31.6054161098842,28.7998298121629
"ECB_RS08865",27.9108805164926,13.976211124487,35.5741297519996,34.2134730785004,4.24483205610645,40.9658567374903,27.4137275904899,21.085916672801,27.6178494016307,33.2619039282657,36.3936891720636,31.0618183327679,42.1889886872146,37.9235095899989,28.5733301152092,32.2611224578517,36.492245822346,26.1520156902041,25.7159310501292,15.3468983766827,24.0010796501536,31.6054161098842,27.9769775318154
"ECB_RS08870",30.9013320004026,13.976211124487,30.4921112159996,12.4412629376365,16.9793282244258,24.3017794205451,28.1752200235591,31.9483585951531,48.1706675609838,28.9233947202311,27.8760172381763,40.6193008966966,24.8806856360497,40.9573903571988,31.0224726965128,32.2611224578517,10.4263559492417,36.9955343910204,38.1591234937401,43.3324189459275,21.3342930223587,42.8930647205571,23.8627161300778
"ECB_RS08875",155.503477163316,928.641583604801,161.989340834998,8054.16259425244,840.476747109077,238.851774876215,156.867441212248,261.337573308352,508.682249443989,828.65525873462,604.754707305992,1034.59748754527,1381.41893727111,464.183757381586,755.968676762391,853.739460165099,8007.44136901763,826.020983385713,973.057649090372,3676.93629930756,7523.00507700925,3930.35924623631,1147.87893108478
"ECB_RS08880",1006.28692433569,678.622695711201,1016.40370719999,2668.65090012303,488.155686452242,981.09755203515,984.60971595843,1191.67377559921,254.341124721994,351.419245850808,317.476862990342,415.750491530894,464.078875559361,251.812103677592,339.614437940772,343.069497356667,3044.49593717858,597.669236627346,598.10278345623,1202.47462574949,2522.78014989392,1354.51783328075,760.315507041101
"ECB_RS08885",448.069314005837,12.4232987773218,422.442790804995,9.33094720322739,12.7344961683193,488.11859807552,711.995424919669,820.433848723531,52.6665965333422,67.2468927245372,69.6900430954409,39.4246155762055,31.3712992802365,59.1606749603982,59.595802811722,37.7691189750459,10.4263559492417,155.636386058775,137.704663042627,30.6937967533653,8.00035988338452,28.2191215266823,172.798978872977
"ECB_RS25460",7.47612870977481,1.55291234716522,5.71727085299993,0,0,11.1093848779635,8.37641676376082,7.02863889093367,1.28455113495957,2.89233947202311,2.3230014365147,4.7787412819643,5.40884470348906,5.30929134259984,1.6327617208691,8.65542309844801,0,7.01639445346938,4.97727697744436,1.80551745608031,0,2.25752972213459,10.6970796445177
